First name Last name	Last name of the artist 	First name of the artist	Sex of the artist (F/M/FM/empty)	Membership in movement, if applicable	Biographical elements	Detailed address of the artist, as it appears in the catalogue	Country of the artist	State of the artist	City of the artist	City coordinate location	City lat	City long	Street number of the artist's address	Street name of the artist's address	Street coordinate location	Street lat	Street long	Floor level of the artist's address	Local address of the artist	Additional information on the artist's address	Address as it appears in the catalogue	Country of the artist 2	State of the artist 2	City of the artist 2	Street number of the artist's address 2	Street name of the artist's address 2	Floor level of the artist's address 2	Local address of the artist 2	Additional information on the artist's address 2	Artist's nationality	Student of	Birth year	Month of birth	Day of birth	Detailed birth address of the artist, as it appears in the catalogue	Country of birth	State of birth	City of birth	Street number of the birth address	Street name of the birth address	Floor level of the birth address	Local address of birth	Additional information on the birth address	Year of death	Month of death	Day of death	Detailed death address of the artist, as it appears in the catalogue	Country of death	State of death	City of death	Street number of the death address	Street name of the death address	Floor level of the death address	Local address of death	Additional information on the death address	Notes	Number	Title of artwork	Subtitle	Dimension_bis	Medium_bis	Translated title	Start year of creation	Start month of creation	Start day of creation	End year of creation	End month of creation	End day of creation	Country of creation	State of creation	City of creation	Dimensions	Categories	Medium	Room	Chapter of the catalogue ?	Price	Location/Owner	Owner's country	Owner's state	Owner's city	Notes2
Edward ATKINSON 	ATKINSON 	Edward	M		 23, Wyatt Road, Highbury, Londres.	 23, Wyatt Road, Highbury, Londres.	England	 	London	51.507222222222,-0.1275	51.507222222222	-0.1275	23	 Wyatt Road				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	10	bis Le Brûleur d'herbes.	A. Br.	Agrandissement	Papier au gelatino-bromure d'argent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Joh. A. BAKHUIS 	BAKHUIS 	Joh. A.	M		 Olst (Hollande).	 Olst (Hollande).	Netherlands	 	Olst-Wijhe	52.3333,6.1	52.3333	6.1	 					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	11	Étude d'éclairage.	A.	Agrandissement		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Henry BALLIF 	BALLIF 	Henry	M		 2, rue Balzac, Tours.	 2, rue Balzac, Tours.	France	 	Tours	47.392777777778,0.68833333333333	47.392777777778	0.68833333333333	2	 rue Balzac				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	 Vue de la Loire à Saint-Denishors (lndre-et-Loire).	D. Gb.	Épreuve directe	Procédé à la gomme bichromatée	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Augustin BARBICHON 	BARBICHON 	Augustin	M	Société Française de Photographie	 S. F. P. Rue Saint-Pierre, 19, Versailles.	Rue Saint-Pierre, 19, Versailles.	France	 	Versailles	48.804722222222,2.1341666666667	48.804722222222	2.1341666666667	19	 Rue Saint-Pierre				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	Claire Matinée d'hiver.	D. Br.	Épreuve directe	Papier au gelatino-bromure d'argent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
E.-E. BARRON 	BARRON 	E.-E.			 55, Lincolns lnn Fields, Londres.	 55, Lincolns lnn Fields, Londres.	England	 	London	51.507222222222,-0.1275	51.507222222222	-0.1275	55	 Lincolns lnn Fields				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	14	Temps pluvieux aux terrains bas.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
E.-E. BARRON 	BARRON 	E.-E.			 55, Lincolns lnn Fields, Londres.	 55, Lincolns lnn Fields, Londres.	England	 	London	51.507222222222,-0.1275	51.507222222222	-0.1275	55	 Lincolns lnn Fields				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	Le Moissonneur.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
E.-E. BARRON 	BARRON 	E.-E.			 55, Lincolns lnn Fields, Londres.	 55, Lincolns lnn Fields, Londres.	England	 	London	51.507222222222,-0.1275	51.507222222222	-0.1275	55	 Lincolns lnn Fields				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	16	Au-dessous des collines de Surrey.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
E.-E. BARRON 	BARRON 	E.-E.			 55, Lincolns lnn Fields, Londres.	 55, Lincolns lnn Fields, Londres.	England	 	London	51.507222222222,-0.1275	51.507222222222	-0.1275	55	 Lincolns lnn Fields				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	17	Charriage du printemps.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
E.-E. BARRON 	BARRON 	E.-E.			 55, Lincolns lnn Fields, Londres.	 55, Lincolns lnn Fields, Londres.	England	 	London	51.507222222222,-0.1275	51.507222222222	-0.1275	55	 Lincolns lnn Fields				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	18	Pâturage en chemin.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Perey BARRON 	BARRON 	Perey	M		 Kavensdene Barnet, Londres.	 Kavensdene Barnet, Londres.	England	 	London	51.507222222222,-0.1275	51.507222222222	-0.1275	 	 Kavensdene Barnet				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	19	Brume d'hiver.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Perey BARRON 	BARRON 	Perey	M		 Kavensdene Barnet, Londres.	 Kavensdene Barnet, Londres.	England	 	London	51.507222222222,-0.1275	51.507222222222	-0.1275	 	 Kavensdene Barnet				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	20	L’Automne.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Charles Summers BAYNTON 	BAYNTON 	Charles Summers	M		 School Road, Moseley, Birmingham.	 School Road, Moseley, Birmingham.	England	 	Birmingham	52.48,-1.9025	52.48	-1.9025	 	 School Road				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	21	Parc de Sutton.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Charles Summers BAYNTON 	BAYNTON 	Charles Summers	M		 School Road, Moseley, Birmingham.	 School Road, Moseley, Birmingham.	England	 	Birmingham	52.48,-1.9025	52.48	-1.9025	 	 School Road				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	22	Bolton Abbey.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Alfred BÉGOZ 	BÉGOZ 	Alfred	M		 24, cité Trévise, Paris.	 24, cité Trévise, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	24	cité de Trévise	48.8751,2.34699	48.8751	2.34699	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	23	Bords du Léman.	A. Br.	Agrandissement	Papier au gelatino-bromure d'argent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Alfred BÉGOZ 	BÉGOZ 	Alfred	M		 24, cité Trévise, Paris.	 24, cité Trévise, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	24	cité de Trévise	48.8751,2.34699	48.8751	2.34699	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	24	Paysanne.	D.	Épreuve directe		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Henri BELLIENI 	BELLIENI 	Henri	M		 17, place Carnot, Nancy (Meurthe-et-Moselle).	 17, place Carnot, Nancy (Meurthe-et-Moselle).	France	 	Nancy	48.692777777778,6.1836111111111	48.692777777778	6.1836111111111	17	place Carnot	48.6936,6.1775	48.6936	6.1775	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	25	Sous la Neige.	A. Ch.	Agrandissement	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Henri BELLIENI 	BELLIENI 	Henri	M		 17, place Carnot, Nancy (Meurthe-et-Moselle).	 17, place Carnot, Nancy (Meurthe-et-Moselle).	France	 	Nancy	48.692777777778,6.1836111111111	48.692777777778	6.1836111111111	17	place Carnot	48.6936,6.1775	48.6936	6.1775	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	26	Sous Bois.	A. Ch.	Agrandissement	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Henri BELLIENI 	BELLIENI 	Henri	M		 17, place Carnot, Nancy (Meurthe-et-Moselle).	 17, place Carnot, Nancy (Meurthe-et-Moselle).	France	 	Nancy	48.692777777778,6.1836111111111	48.692777777778	6.1836111111111	17	place Carnot	48.6936,6.1775	48.6936	6.1775	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	27	Défilé au galop à la revue de Mirecourt.	A. Ch.	Agrandissement	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Henri BELLIENI 	BELLIENI 	Henri	M		 17, place Carnot, Nancy (Meurthe-et-Moselle).	 17, place Carnot, Nancy (Meurthe-et-Moselle).	France	 	Nancy	48.692777777778,6.1836111111111	48.692777777778	6.1836111111111	17	place Carnot	48.6936,6.1775	48.6936	6.1775	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	28	Chute de Neige.	A. Ch.	Agrandissement	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Lionel C. BENNETT 	BENNETT 	Lionel C.	M	Linked Ring	 L. R. 11, Fairbawn Park, Chiswick, Londres.	11, Fairbawn Park, Chiswick, Londres.	England	 	London	51.507222222222,-0.1275	51.507222222222	-0.1275	11	 Fairbawn Park				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	29	Un Quai (Essex).				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Lionel C. BENNETT 	BENNETT 	Lionel C.	M	Linked Ring	 L. R. 11, Fairbawn Park, Chiswick, Londres.	11, Fairbawn Park, Chiswick, Londres.	England	 	London	51.507222222222,-0.1275	51.507222222222	-0.1275	11	 Fairbawn Park				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	30	Novembre.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Lionel C. BENNETT 	BENNETT 	Lionel C.	M	Linked Ring	 L. R. 11, Fairbawn Park, Chiswick, Londres.	11, Fairbawn Park, Chiswick, Londres.	England	 	London	51.507222222222,-0.1275	51.507222222222	-0.1275	11	 Fairbawn Park				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	31	Le Poteau télégraphique.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Charles-J. BERG 	BERG 	Charles-J.	M		 10, West, 23 th. Street, New-York.	 10, West, 23 th. Street, New-York.	United States of America	 	New York City	40.7,-74	40.7	-74		10, West, 23 th. Street				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	32	Lumières et Ombres.	Pl.	Pl.	Papier au platine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Charles-J. BERG 	BERG 	Charles-J.	M		 10, West, 23 th. Street, New-York.	 10, West, 23 th. Street, New-York.	United States of America	 	New York City	40.7,-74	40.7	-74		10, West, 23 th. Street				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	33	Magdalen.	Pl.	Pl.	Papier au platine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Paul BERGON 	BERGON 	Paul	M	Société Française de Photographie	 S. F. P. 40, boulevard Haussmann, Paris.	40, boulevard Haussmann, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	40	boulevard Haussmann	48.875,2.307222	48.875	2.307222	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	34	Étude de tête.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Paul BERGON 	BERGON 	Paul	M	Société Française de Photographie	 S. F. P. 40, boulevard Haussmann, Paris.	40, boulevard Haussmann, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	40	boulevard Haussmann	48.875,2.307222	48.875	2.307222	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	35	Étude de tête.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Paul BERGON 	BERGON 	Paul	M	Société Française de Photographie	 S. F. P. 40, boulevard Haussmann, Paris.	40, boulevard Haussmann, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	40	boulevard Haussmann	48.875,2.307222	48.875	2.307222	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	36	Mélancolie.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Paul BERGON 	BERGON 	Paul	M	Société Française de Photographie	 S. F. P. 40, boulevard Haussmann, Paris.	40, boulevard Haussmann, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	40	boulevard Haussmann	48.875,2.307222	48.875	2.307222	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	37	Fleur de rêve.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Paul BERGON 	BERGON 	Paul	M	Société Française de Photographie	 S. F. P. 40, boulevard Haussmann, Paris.	40, boulevard Haussmann, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	40	boulevard Haussmann	48.875,2.307222	48.875	2.307222	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	38	Le Modèle.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Paul BERGON 	BERGON 	Paul	M	Société Française de Photographie	 S. F. P. 40, boulevard Haussmann, Paris.	40, boulevard Haussmann, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	40	boulevard Haussmann	48.875,2.307222	48.875	2.307222	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	39	Étude de plein air.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Paul BERGON 	BERGON 	Paul	M	Société Française de Photographie	 S. F. P. 40, boulevard Haussmann, Paris.	40, boulevard Haussmann, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	40	boulevard Haussmann	48.875,2.307222	48.875	2.307222	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	40	Étude.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Oscar BERL 	BERL 	Oscar	M		 1, Schottenring, 7, Vienne (Autriche).	 1, Schottenring, 7, Vienne (Autriche).	Austria	 	Vienna	48.208333333333336,16.3725	48.208333333333336	16.3725	7	Ringstraße	48.2046,16.3627	48.2046	16.3627	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	41	Matinée d'automne.	D. Pl.	Épreuve directe	Papier au platine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Oscar BERL 	BERL 	Oscar	M		 1, Schottenring, 7, Vienne (Autriche).	 1, Schottenring, 7, Vienne (Autriche).	Austria	 	Vienna	48.208333333333336,16.3725	48.208333333333336	16.3725	7	Ringstraße	48.2046,16.3627	48.2046	16.3627	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	42	Coucher de soleil.	D. Pl.	Épreuve directe	Papier au platine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Auguste BERT 	BERT 	Auguste	M		 18, rue Raymond IV, Toulouse.	 18, rue Raymond IV, Toulouse.	France	 	Toulouse	43.604444444444,1.4438888888889	43.604444444444	1.4438888888889	18	rue Raymond IV	43.61085,1.44894	43.61085	1.44894	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	43	La Part du chef.	A. Br.	Agrandissement	Papier au gelatino-bromure d'argent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Auguste BERT 	BERT 	Auguste	M		 18, rue Raymond IV, Toulouse.	 18, rue Raymond IV, Toulouse.	France	 	Toulouse	43.604444444444,1.4438888888889	43.604444444444	1.4438888888889	18	rue Raymond IV	43.61085,1.44894	43.61085	1.44894	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	44	Profil.	A. Br.	Agrandissement	Papier au gelatino-bromure d'argent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Auguste BERT 	BERT 	Auguste	M		 18, rue Raymond IV, Toulouse.	 18, rue Raymond IV, Toulouse.	France	 	Toulouse	43.604444444444,1.4438888888889	43.604444444444	1.4438888888889	18	rue Raymond IV	43.61085,1.44894	43.61085	1.44894	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	45	Salomé.	A. Br.	Agrandissement	Papier au gelatino-bromure d'argent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Georges BERTEAUX 	BERTEAUX 	Georges	M	Photo-Club de Paris / Société Française de Photographie	 P. C. P. - S. F. P. 73, avenue du Roule, Neuilly-sur-Seine.	 73, avenue du Roule, Neuilly-sur-Seine.	France	 	Neuilly-sur-Seine	48.887222222222,2.2675	48.887222222222	2.2675	73	avenue du Roule	48.88283,2.27612	48.88283	2.27612	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	46	Sur la Jetée, à Baja (Italie). 	A. Ch.	Agrandissement	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
