First name Last name	Last name of the artist	First name of the artist	Sex of the artist (F/M/FM/empty)	Membership in movement, if applicable	Biographical elements	Detailed address of the artist, as it appears in the catalogue	Country of the artist	State of the artist	City of the artist	City coordinate location	City lat	City long	Street number of the artist's address	Street name of the artist's address	Street coordinate location	Street lat	Street long	Floor level of the artist's address	Local address of the artist	Additional information on the artist's address	Address as it appears in the catalogue	Country of the artist 2	State of the artist 2	City of the artist 2	Street number of the artist's address 2	Street name of the artist's address 2	Floor level of the artist's address 2	Local address of the artist 2	Additional information on the artist's address 2	Artist's nationality	Student of	Birth year	Month of birth	Day of birth	Detailed birth address of the artist, as it appears in the catalogue	Country of birth	State of birth	City of birth	Street number of the birth address	Street name of the birth address	Floor level of the birth address	Local address of birth	Additional information on the birth address	Year of death	Month of death	Day of death	Detailed death address of the artist, as it appears in the catalogue	Country of death	State of death	City of death	Street number of the death address	Street name of the death address	Floor level of the death address	Local address of death	Additional information on the death address	Notes	Number	Title of artwork	Subtitle	Dimension_bis	Medium_bis	Translated title	Start year of creation	Start month of creation	Start day of creation	End year of creation	End month of creation	End day of creation	Country of creation	State of creation	City of creation	Dimensions	Categories	Medium	Room	Chapter of the catalogue ?	Price	Location/Owner	Owner's country	Owner's state	Owner's city	Notes2	Column 75
Wladimir BACHROUSCHINE 	BACHROUSCHINE 	Wladimir	M	Société de Photographie artistique de Moscou	  PRÉS. DE LA SOC. DE PHOTOGR. ARTIST. DE MOSCOU. Moscou.	Moscou.	Russia	 	Moscow	55.755833333333,37.617777777778	55.755833333333	37.617777777778	 					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	11	Paysage.	D. Gb. Fr.	Épreuve directe	Procédé à la gomme bichromatée, papier au charbon Fresson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Wladimir BACHROUSCHINE 	BACHROUSCHINE 	Wladimir	M	Société de Photographie artistique de Moscou	  PRÉS. DE LA SOC. DE PHOTOGR. ARTIST. DE MOSCOU. Moscou.	Moscou.	Russia	 	Moscow	55.755833333333,37.617777777778	55.755833333333	37.617777777778	 					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	Étude.	D. Gb. Fr.	Épreuve directe	Procédé à la gomme bichromatée, papier au charbon Fresson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Ernest BAILLOU 	BAILLOU 	Ernest	M	Photo-Club de Paris / Société Versaillaise de Photogaphie	  P. C. P. - S. V. P. 71, boulevard de la Reine, Versailles (Seine-et-Oise).	 71, boulevard de la Reine, Versailles (Seine-et-Oise).	France	 	Versailles	48.804722222222,2.1341666666667	48.804722222222	2.1341666666667	71	boulevard de la Reine				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	L'Automne à Trianon.	D. Br.	Épreuve directe	Papier au gélatino-bromure d'argent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Ernest BAILLOU 	BAILLOU 	Ernest	M	Photo-Club de Paris / Société Versaillaise de Photogaphie	  P. C. P. - S. V. P. 71, boulevard de la Reine, Versailles (Seine-et-Oise).	 71, boulevard de la Reine, Versailles (Seine-et-Oise).	France	 	Versailles	48.804722222222,2.1341666666667	48.804722222222	2.1341666666667	71	boulevard de la Reine				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	14	Le grand Canal, parc de Versailles.	D. Br.	Épreuve directe	Papier au gélatino-bromure d'argent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Miss Alice BAIRD 	BAIRD 	Miss Alice	F	 	 37, avenue de l'Alma, Paris.	 37, avenue de l'Alma, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	37	avenue George-V	48.867855,2.301207	48.867855	2.301207	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	Une rue à Fribourg. A.	A.	Agrandissement		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Miss Alice BAIRD 	BAIRD 	Miss Alice	F	 	 37, avenue de l'Alma, Paris.	 37, avenue de l'Alma, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	37	avenue George-V	48.867855,2.301207	48.867855	2.301207	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	16	Après l'orage (Lac de Genève). D.	D.	Épreuve directe		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Miss Alice BAIRD 	BAIRD 	Miss Alice	F	 	 37, avenue de l'Alma, Paris.	 37, avenue de l'Alma, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	37	avenue George-V	48.867855,2.301207	48.867855	2.301207	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	17	Orage (Lac de Genève).	D.	Épreuve directe		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Michel BARUCCHI 	BARUCCHI 	Michel	M	 	 32, quai Saint-Jean-Baptiste, Nice (Alpes- Maritimes).	 32, quai Saint-Jean-Baptiste, Nice (Alpes- Maritimes).	France	 	Nice	43.701944444444,7.2683333333333	43.701944444444	7.2683333333333	32	avenue Félix-Faure				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	18	Effet de Soleil.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Alfred BÉGOZ 	BÉGOZ 	Alfred	M	 	 4, cité Hauteville, Paris.	 4, cité Hauteville, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	4	cité d'Hauteville	48.8764,2.352	48.8764	2.352	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	19	Suzanne.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Alfred BÉGOZ 	BÉGOZ 	Alfred	M	 	 4, cité Hauteville, Paris.	 4, cité Hauteville, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	4	cité d'Hauteville	48.8764,2.352	48.8764	2.352	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	20	Dans le Verger.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Alfred BÉGOZ 	BÉGOZ 	Alfred	M	 	 4, cité Hauteville, Paris.	 4, cité Hauteville, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	4	cité d'Hauteville	48.8764,2.352	48.8764	2.352	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	21	Les Marguerites.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
BÉGUIN	BÉGUIN			 	 rue Henri-Blès, Namur (Belgique).	 rue Henri-Blès, Namur (Belgique).	Belgium	 	Namur	50.466666666667,4.8666666666667	50.466666666667	4.8666666666667	 	 rue Henri-Blès				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	22	Paysage.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
BÉGUIN	BÉGUIN			 	 rue Henri-Blès, Namur (Belgique).	 rue Henri-Blès, Namur (Belgique).	Belgium	 	Namur	50.466666666667,4.8666666666667	50.466666666667	4.8666666666667	 	 rue Henri-Blès				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	23	Étude.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Henri BELLIENI 	BELLIENI 	Henri	M	Société Française de Photographie	  S. F. P. 17, Place Carnot, Nancy (Meurthe-et-Moselle).	   17, Place Carnot, Nancy (Meurthe-et-Moselle).	France	 	Nancy	48.692777777778,6.1836111111111	48.692777777778	6.1836111111111	17	place Carnot	48.6936,6.1775	48.6936	6.1775	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	24	Gardeuse d'oies.	A. Ch.	Agrandissement	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Henri BELLIENI 	BELLIENI 	Henri	M	Société Française de Photographie	  S. F. P. 17, Place Carnot, Nancy (Meurthe-et-Moselle).	   17, Place Carnot, Nancy (Meurthe-et-Moselle).	France	 	Nancy	48.692777777778,6.1836111111111	48.692777777778	6.1836111111111	17	place Carnot	48.6936,6.1775	48.6936	6.1775	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	25	Charge de Cuirassiers.	A. Ch.	Agrandissement	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Henri BELLIENI 	BELLIENI 	Henri	M	Société Française de Photographie	  S. F. P. 17, Place Carnot, Nancy (Meurthe-et-Moselle).	   17, Place Carnot, Nancy (Meurthe-et-Moselle).	France	 	Nancy	48.692777777778,6.1836111111111	48.692777777778	6.1836111111111	17	place Carnot	48.6936,6.1775	48.6936	6.1775	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	26	Brumes du matin.	A. Ch.	Agrandissement	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Georges BELLIVET 	BELLIVET 	Georges	M	L'Artistique de Nice / Photo-Club de Paris	  AR. N. - P. C. P. Montclair, Mantega, Nice (Alpes-Maritimes).	Montclair, Mantega, Nice (Alpes-Maritimes).	France	 	Nice	43.701944444444,7.2683333333333	43.701944444444	7.2683333333333	 	avenue Bellevue				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	27	Sous bois (Parc de Saint-Cloud).	A. Br.	Agrandissement	Papier au gélatino-bromure d'argent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Georges BELLIVET 	BELLIVET 	Georges	M	L'Artistique de Nice / Photo-Club de Paris	  AR. N. - P. C. P. Montclair, Mantega, Nice (Alpes-Maritimes).	Montclair, Mantega, Nice (Alpes-Maritimes).	France	 	Nice	43.701944444444,7.2683333333333	43.701944444444	7.2683333333333	 	avenue Bellevue				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	28	Environs de Nice.	A. Br.	Agrandissement	Papier au gélatino-bromure d'argent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Paul BERGER 	BERGER 	Paul	M	 	 62, rue Caumartin, Paris.	 62, rue Caumartin, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	62	rue de Caumartin	48.87251944,2.32824444	48.87251944	2.32824444	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	29	Portrait de Madame C...	D. Ch.	Épreuve directe	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Paul BERGER 	BERGER 	Paul	M	 	 62, rue Caumartin, Paris.	 62, rue Caumartin, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	62	rue de Caumartin	48.87251944,2.32824444	48.87251944	2.32824444	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	30	Suzanne (Étude).	D. Ch.	Épreuve directe	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Paul BERGER 	BERGER 	Paul	M	 	 62, rue Caumartin, Paris.	 62, rue Caumartin, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	62	rue de Caumartin	48.87251944,2.32824444	48.87251944	2.32824444	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	31	Fille de ferme.	D. Ch.	Épreuve directe	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Paul BERGON 	BERGON 	Paul	M	Photo-Club de Paris	  P. C. P. 40, boulevard Haussmann, Paris.	   40, boulevard Haussmann, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	40	boulevard Haussmann	48.875,2.307222	48.875	2.307222	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	32	Mélusine.	Ch.		Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Paul BERGON 	BERGON 	Paul	M	Photo-Club de Paris	  P. C. P. 40, boulevard Haussmann, Paris.	   40, boulevard Haussmann, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	40	boulevard Haussmann	48.875,2.307222	48.875	2.307222	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	33	Incantation.	Ch.		Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Paul BERGON 	BERGON 	Paul	M	Photo-Club de Paris	  P. C. P. 40, boulevard Haussmann, Paris.	   40, boulevard Haussmann, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	40	boulevard Haussmann	48.875,2.307222	48.875	2.307222	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	34	Portrait.	Ch.		Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Paul BERGON 	BERGON 	Paul	M	Photo-Club de Paris	  P. C. P. 40, boulevard Haussmann, Paris.	   40, boulevard Haussmann, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	40	boulevard Haussmann	48.875,2.307222	48.875	2.307222	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	35	A la Source.	Ch.		Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Paul BERGON 	BERGON 	Paul	M	Photo-Club de Paris	  P. C. P. 40, boulevard Haussmann, Paris.	   40, boulevard Haussmann, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	40	boulevard Haussmann	48.875,2.307222	48.875	2.307222	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	36	Vision.	Ch.		Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Paul BERGON 	BERGON 	Paul	M	Photo-Club de Paris	  P. C. P. 40, boulevard Haussmann, Paris.	   40, boulevard Haussmann, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	40	boulevard Haussmann	48.875,2.307222	48.875	2.307222	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	37	Elle passe...	Ch.		Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Henri BERTRAND 	BERTRAND 	Henri	M	 	  Dieulefit (Drôme).	  Dieulefit (Drôme).	France	 	Dieulefit	44.523055555556,5.0655555555556	44.523055555556	5.0655555555556	 					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	38	Le Potier.	A. Br.	Agrandissement	Papier au gélatino-bromure d'argent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Georges BESSON 	BESSON 	Georges	M	Photo-Club de Paris / Photo-Club du Haut-Jura	  P. C. P. - P. C. HAUT-JURA. 6, rue des Promenades, Saint-Claude (Jura).	6, rue des Promenades, Saint-Claude (Jura).	France	 	Saint-Claude	46.387222222222,5.8633333333333	46.387222222222	5.8633333333333	6	 rue des Promenades				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	39	La Halte.	A. G. Br.	Agrandissement	Papier au gélatino-bromure d'argent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Georges BESSON 	BESSON 	Georges	M	Photo-Club de Paris / Photo-Club du Haut-Jura	  P. C. P. - P. C. HAUT-JURA. 6, rue des Promenades, Saint-Claude (Jura).	6, rue des Promenades, Saint-Claude (Jura).	France	 	Saint-Claude	46.387222222222,5.8633333333333	46.387222222222	5.8633333333333	6	 rue des Promenades				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	40	Matinée d'Automne.	A. Br.	Agrandissement	Papier au gélatino-bromure d'argent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Georges BESSON 	BESSON 	Georges	M	Photo-Club de Paris / Photo-Club du Haut-Jura	  P. C. P. - P. C. HAUT-JURA. 6, rue des Promenades, Saint-Claude (Jura).	6, rue des Promenades, Saint-Claude (Jura).	France	 	Saint-Claude	46.387222222222,5.8633333333333	46.387222222222	5.8633333333333	6	 rue des Promenades				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	41	Effet de Neige.	D. Br.	Épreuve directe	Papier au gélatino-bromure d'argent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Georges BESSON 	BESSON 	Georges	M	Photo-Club de Paris / Photo-Club du Haut-Jura	  P. C. P. - P. C. HAUT-JURA. 6, rue des Promenades, Saint-Claude (Jura).	6, rue des Promenades, Saint-Claude (Jura).	France	 	Saint-Claude	46.387222222222,5.8633333333333	46.387222222222	5.8633333333333	6	 rue des Promenades				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	42	Étude.	D. Br.	Épreuve directe	Papier au gélatino-bromure d'argent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
A. BIENDINÉ 	BIENDINÉ 	A.		 	 72 bis, rue de la Paix, Boulogne-sur-Mer (Pas-de-Calais).	 72 bis, rue de la Paix, Boulogne-sur-Mer (Pas-de-Calais).	France	 	Boulogne-sur-Mer	50.725555555556,1.6138888888889	50.725555555556	1.6138888888889	72	 rue de la Paix				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	43	Au Coin du feu. Picardie.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
